Matricula,Nombre,Calificacion 1,Calificacion 2,Calificacion 3
19920,Ana Juan  González Rodríguez,66.0,59.0,58.0
10354,Pedro Pedro  Rodríguez Fernández,101.0,74.0,54.0
13188,Andrés Pedro  Rodríguez Fernández,56.0,64.0,40.0
13030,Carlos Laura  Gómez Gómez,43.0,42.0,49.0
12029,Luis Laura  Martínez Gómez,72.0,44.0,48.0
17851,María Ana  López González,91.0,97.0,97.0
13450,Carlos Lucia  Fernández Gómez,91.0,92.0,57.0
11000,Carlos Juan  González López,82.0,77.0,83.0
10373,María Betsua  González López,80.0,67.0,85.0
18916,Ana Laura  Fernández Fernández,82.0,82.0,64.0
16973,Isabel Juan  López López,59.0,94.0,77.0
11662,María Betsua  López Rodríguez,99.0,90.0,45.0
14258,Pedro Lucia  Martínez Pérez,42.0,73.0,46.0
11146,Sofía Ana  Rodríguez Gómez,43.0,44.0,61.0
13618,Ana Laura  López Martínez,90.0,72.0,79.0
11179,Leticia Ana  Fernández Fernández,66.0,46.0,83.0
14932,Carlos Laura  Rodríguez González,76.0,61.0,76.0
15739,Luis Betsua  Martínez Pérez,96.0,59.0,97.0
17144,María Angel  González Rodríguez,46.0,50.0,97.0
12954,Pedro Ana  González López,64.0,63.0,69.0
11000,Laura Pedro  Gómez Fernández,48.0,97.0,55.0
18251,Andrés María  Rodríguez Martínez,97.0,52.0,55.0
17653,Carlos Ana  López Pérez,43.0,101.0,61.0
10645,Luis Ana  Pérez Gómez,94.0,41.0,41.0
19772,Ana Pedro  López Gómez,87.0,69.0,73.0
11653,Andrés María  Martínez Fernández,65.0,92.0,58.0
16410,Pedro Lucia  Rodríguez Martínez,41.0,98.0,90.0
13266,Laura María  Gómez Fernández,74.0,70.0,97.0
14262,María Angel  Pérez González,79.0,88.0,72.0
15874,Leticia Betsua  Rodríguez Pérez,80.0,56.0,57.0
17704,Luis Carlos  Fernández López,90.0,98.0,95.0
19335,Sofía Carlos  Fernández Fernández,96.0,99.0,52.0
12775,María Luis  López Gómez,98.0,69.0,92.0
13332,María Betsua  Fernández González,94.0,77.0,88.0
10951,Pedro Betsua  Martínez González,59.0,71.0,95.0
12592,Sofía Laura  Rodríguez Pérez,93.0,76.0,71.0
12653,Pedro Luis  Fernández Martínez,51.0,80.0,63.0
15608,Leticia Carlos  Gómez González,60.0,54.0,67.0
18674,Luis Ana  González Gómez,94.0,83.0,93.0
14107,Isabel Betsua  Rodríguez González,71.0,55.0,76.0
11920,Laura Laura  Rodríguez González,76.0,77.0,62.0
19777,Sofía Lucia  González Fernández,95.0,95.0,94.0
17246,Laura Pedro  Pérez González,99.0,72.0,82.0
12864,Leticia Angel  Martínez Rodríguez,97.0,100.0,99.0
10216,Laura María  Martínez Pérez,59.0,100.0,58.0
17727,Isabel Laura  Pérez Rodríguez,80.0,61.0,43.0
16715,Andrés Carlos  Fernández González,95.0,65.0,88.0
19324,María Luis  Fernández Pérez,74.0,87.0,68.0
18332,María Carlos  López Fernández,62.0,43.0,72.0
15102,Leticia Angel  López Rodríguez,51.0,52.0,78.0
15851,Carlos Juan  Rodríguez López,64.0,86.0,85.0
16367,Sofía Pedro  Martínez Rodríguez,44.0,55.0,97.0
14111,Leticia Lucia  Pérez Martínez,59.0,43.0,79.0
12513,Pedro Luis  González López,53.0,44.0,63.0
19184,Isabel Betsua  Rodríguez Fernández,94.0,67.0,90.0
10203,Pedro Juan  Fernández Gómez,83.0,46.0,47.0
17503,Luis Luis  Gómez Gómez,101.0,96.0,42.0
11295,Ana Carlos  Gómez Pérez,55.0,66.0,70.0
15503,Carlos Ana  Gómez Rodríguez,60.0,88.0,42.0
10748,Ana Pedro  Rodríguez Rodríguez,53.0,64.0,98.0
18918,Sofía Angel  Martínez Pérez,75.0,55.0,48.0
14601,Sofía Carlos  Martínez González,85.0,86.0,49.0
12209,Luis María  González Gómez,64.0,52.0,86.0
13934,Sofía Carlos  Rodríguez Pérez,52.0,58.0,40.0
17894,Pedro Lucia  Gómez Gómez,51.0,100.0,68.0
15770,Isabel Lucia  Fernández López,65.0,96.0,93.0
19996,Sofía Carlos  Gómez Gómez,59.0,84.0,74.0
14716,Ana Angel  Gómez Rodríguez,76.0,95.0,67.0
15885,Leticia Luis  López López,51.0,79.0,90.0
19671,Ana Juan  González Martínez,48.0,82.0,89.0
12168,Ana Pedro  Pérez Gómez,77.0,67.0,94.0
15083,Luis Laura  Gómez Martínez,79.0,47.0,64.0
16357,Leticia Juan  González Rodríguez,52.0,78.0,70.0
16789,María Pedro  González Martínez,44.0,54.0,73.0
11322,Pedro Carlos  Rodríguez Martínez,69.0,96.0,45.0
10024,Isabel Laura  Pérez López,99.0,88.0,88.0
19741,María Lucia  Rodríguez Pérez,58.0,68.0,50.0
13150,Ana Angel  González Pérez,85.0,61.0,69.0
15478,Luis Lucia  González Martínez,87.0,94.0,72.0
12622,Pedro Luis  Pérez López,41.0,51.0,66.0
13922,Sofía Juan  Pérez Martínez,81.0,97.0,94.0
13655,Ana Luis  Fernández González,62.0,42.0,71.0
17342,Pedro Pedro  Rodríguez Pérez,53.0,84.0,60.0
16203,Leticia Luis  Pérez Pérez,40.0,41.0,92.0
19308,Carlos Juan  Rodríguez Martínez,100.0,43.0,76.0
16789,Isabel María  Fernández Gómez,86.0,58.0,81.0
10516,Andrés Juan  López Fernández,42.0,44.0,59.0
16590,Ana María  Gómez Rodríguez,50.0,51.0,97.0
19297,Isabel Luis  Pérez Rodríguez,55.0,51.0,80.0
16852,Carlos Betsua  González López,86.0,74.0,67.0
10766,Andrés Juan  Martínez Rodríguez,51.0,52.0,49.0
12714,Laura Carlos  Rodríguez López,68.0,87.0,100.0
17296,Ana Laura  López Rodríguez,42.0,66.0,80.0
11046,Carlos Betsua  Pérez Fernández,55.0,86.0,63.0
14247,Laura Lucia  Fernández Fernández,97.0,92.0,49.0
12583,Ana Luis  Fernández Pérez,60.0,71.0,73.0
17313,Ana Ana  López Martínez,100.0,61.0,41.0
18643,Leticia Juan  Fernández Martínez,49.0,50.0,69.0
17983,Andrés Betsua  Gómez González,61.0,74.0,83.0
19198,Laura Juan  González López,55.0,52.0,91.0
19895,Sofía Ana  Pérez Martínez,44.0,57.0,74.0
10001,Ana María  González López,88.0,76.0,80.0
10637,Andrés Juan  Martínez Martínez,58.0,65.0,75.0
18103,María Juan  Pérez López,73.0,98.0,60.0
15340,Carlos María  Fernández Pérez,97.0,93.0,46.0
15112,Isabel Juan  Martínez Pérez,100.0,80.0,89.0
17649,Andrés Pedro  Rodríguez Rodríguez,59.0,43.0,64.0
10816,Luis Pedro  Pérez Gómez,95.0,45.0,52.0
16801,Andrés Laura  Fernández Gómez,96.0,92.0,82.0
13080,María Juan  Rodríguez González,51.0,100.0,60.0
18987,Laura María  Martínez Rodríguez,52.0,93.0,89.0
11367,Laura Betsua  Fernández Fernández,89.0,86.0,67.0
12138,Pedro Pedro  Martínez Fernández,73.0,79.0,73.0
10241,Ana Lucia  Gómez Fernández,58.0,98.0,60.0
16583,Luis Carlos  López Martínez,85.0,60.0,78.0
16840,Pedro Angel  Martínez López,76.0,67.0,41.0
15180,Sofía Luis  Fernández Rodríguez,93.0,70.0,86.0
10055,María Lucia  Gómez González,45.0,49.0,75.0
13498,Laura Betsua  López Pérez,83.0,54.0,79.0
10234,María Betsua  Rodríguez Pérez,65.0,93.0,70.0
10038,Sofía Angel  Pérez Pérez,44.0,51.0,77.0
18656,Laura Laura  Gómez Fernández,65.0,41.0,51.0
11602,Isabel Ana  Martínez Gómez,53.0,47.0,55.0
13120,Luis Lucia  Pérez Martínez,80.0,100.0,51.0
11948,Carlos Luis  Martínez Fernández,60.0,72.0,99.0
19967,Leticia Carlos  Pérez Pérez,77.0,87.0,82.0
13252,Sofía Angel  Gómez Martínez,68.0,46.0,83.0
14954,Carlos Juan  Rodríguez Rodríguez,64.0,54.0,41.0
14587,Leticia Luis  Rodríguez Fernández,85.0,52.0,47.0
12985,Pedro Pedro  Rodríguez Rodríguez,58.0,49.0,82.0
11641,Isabel María  González Rodríguez,65.0,94.0,42.0
17792,Leticia Juan  Pérez Rodríguez,100.0,50.0,100.0
16499,Laura Juan  Pérez Martínez,90.0,66.0,97.0
11332,Andrés Lucia  González Martínez,57.0,92.0,51.0
10357,Isabel Lucia  Gómez González,85.0,97.0,71.0
14500,Andrés Laura  López Rodríguez,50.0,80.0,48.0
17421,Laura Laura  Martínez González,52.0,80.0,94.0
11896,Pedro Lucia  López Fernández,88.0,60.0,83.0
14202,Andrés Ana  González Fernández,80.0,62.0,43.0
12185,Leticia Laura  López González,51.0,61.0,48.0
18533,Carlos María  González Martínez,63.0,56.0,100.0
15686,Ana Luis  González Fernández,70.0,72.0,100.0
11885,Andrés Betsua  López Martínez,99.0,96.0,84.0
12530,Andrés Laura  Rodríguez Pérez,74.0,77.0,53.0
14561,Leticia Ana  González Martínez,90.0,49.0,63.0
10304,Pedro Laura  Gómez Martínez,71.0,62.0,92.0
10693,Isabel Luis  Fernández Martínez,99.0,49.0,89.0
10666,Andrés María  Pérez Gómez,45.0,86.0,83.0
13370,Andrés Luis  Martínez Gómez,52.0,62.0,75.0
14254,Pedro Carlos  Martínez González,56.0,90.0,55.0
19148,Ana Angel  Rodríguez Gómez,58.0,63.0,63.0
15156,Laura María  González Gómez,72.0,55.0,55.0
16011,Sofía Luis  Pérez Gómez,75.0,91.0,58.0
19297,Luis Luis  Pérez López,87.0,67.0,85.0
10688,Luis Ana  Rodríguez Rodríguez,99.0,48.0,54.0
19954,Leticia Lucia  Pérez López,53.0,58.0,72.0
18101,Laura Carlos  Rodríguez Martínez,48.0,52.0,99.0
17514,Sofía Angel  Pérez Martínez,50.0,46.0,85.0
17134,Sofía Laura  Rodríguez Martínez,78.0,81.0,85.0
16102,Pedro Luis  Fernández González,78.0,80.0,86.0
18813,Isabel María  Pérez López,83.0,45.0,78.0
12921,Luis Laura  Fernández López,56.0,67.0,67.0
13405,Ana Juan  Fernández Fernández,62.0,77.0,49.0
16153,Leticia Pedro  Pérez Rodríguez,100.0,98.0,81.0
19619,María Lucia  Pérez López,99.0,83.0,69.0
14768,Ana Luis  López Gómez,80.0,79.0,82.0
10145,Laura Luis  Martínez Rodríguez,51.0,40.0,72.0
12268,Sofía María  Gómez Gómez,85.0,87.0,58.0
12474,Andrés María  Rodríguez Pérez,88.0,81.0,56.0
14446,Carlos Ana  Rodríguez López,75.0,43.0,89.0
15462,María María  Rodríguez Martínez,74.0,99.0,85.0
15529,Andrés Laura  Rodríguez López,74.0,53.0,43.0
16016,Sofía Carlos  Rodríguez Fernández,64.0,42.0,96.0
11535,Ana Betsua  Gómez Gómez,87.0,100.0,74.0
15541,María Juan  Fernández Martínez,41.0,83.0,90.0
10584,Sofía Laura  González Martínez,55.0,87.0,63.0
10675,María Pedro  Gómez González,52.0,99.0,92.0
14417,María Luis  González Pérez,97.0,101.0,79.0
12684,Ana Angel  Gómez González,68.0,80.0,57.0
12448,Isabel María  Martínez Pérez,89.0,61.0,83.0
19559,Ana Betsua  Pérez Rodríguez,89.0,99.0,87.0
14743,Luis Ana  González Pérez,61.0,53.0,54.0
15913,Ana Luis  Pérez Gómez,91.0,50.0,43.0
16468,Ana Luis  Fernández Gómez,84.0,72.0,50.0
18986,Andrés Pedro  Fernández López,85.0,51.0,62.0
12124,Luis Luis  Pérez López,68.0,72.0,93.0
14807,Pedro Lucia  López Rodríguez,48.0,95.0,93.0
11882,Pedro Ana  Pérez Pérez,64.0,75.0,78.0
17832,Leticia Juan  Fernández Pérez,50.0,91.0,88.0
13927,Isabel Luis  Gómez López,91.0,59.0,98.0
10790,Laura Carlos  Pérez Gómez,83.0,98.0,40.0
15044,Pedro Ana  Pérez Rodríguez,64.0,101.0,83.0
12942,Isabel María  Fernández Rodríguez,50.0,90.0,52.0
18569,Isabel Pedro  Gómez Fernández,55.0,59.0,51.0
11161,Laura Juan  López Pérez,45.0,91.0,98.0
14958,Ana María  Pérez Pérez,54.0,93.0,48.0
16605,Carlos Betsua  Gómez Gómez,44.0,75.0,98.0
15382,Sofía Carlos  López Rodríguez,80.0,94.0,98.0
14902,Andrés Pedro  González Martínez,60.0,51.0,61.0
16794,Sofía Lucia  Rodríguez Fernández,48.0,42.0,71.0
11780,Carlos Betsua  González Rodríguez,91.0,41.0,61.0
11628,Luis Ana  Fernández Gómez,59.0,60.0,51.0
19188,María Lucia  López González,48.0,64.0,86.0
17883,Luis María  Martínez Fernández,45.0,79.0,65.0
17766,María Betsua  Pérez Martínez,68.0,78.0,71.0
15522,Carlos Luis  Martínez González,95.0,78.0,75.0
15630,Leticia Angel  Pérez Rodríguez,79.0,94.0,82.0
12036,Luis María  Rodríguez Fernández,78.0,69.0,89.0
17849,Luis Luis  López López,54.0,62.0,49.0
11900,Laura Carlos  Pérez López,54.0,55.0,52.0
18154,Luis Angel  Martínez Rodríguez,75.0,81.0,65.0
16988,Sofía Carlos  Gómez González,97.0,51.0,94.0
10619,Ana Luis  Pérez Martínez,55.0,95.0,100.0
14946,Andrés Laura  López Gómez,91.0,67.0,59.0
15489,Sofía Carlos  Martínez Pérez,47.0,91.0,62.0
12550,Pedro Laura  González Rodríguez,47.0,71.0,93.0
12728,Isabel Luis  Rodríguez Pérez,66.0,57.0,79.0
19248,Andrés Juan  Gómez González,80.0,94.0,45.0
16153,Andrés Lucia  Rodríguez González,41.0,93.0,49.0
11424,Carlos Juan  López González,83.0,70.0,67.0
11078,Laura Juan  Gómez Martínez,59.0,87.0,71.0
11387,Isabel Carlos  González González,76.0,63.0,76.0
13244,Carlos Ana  Fernández González,51.0,94.0,48.0
13621,Sofía Laura  Pérez Fernández,88.0,40.0,43.0
11001,Pedro Laura  López Gómez,60.0,67.0,82.0
16304,Laura Luis  González Martínez,68.0,83.0,91.0
10128,María Laura  Rodríguez Rodríguez,73.0,50.0,87.0
11606,Ana Carlos  Gómez Gómez,80.0,46.0,84.0
16452,Ana Luis  Fernández Pérez,98.0,48.0,84.0
19117,Ana María  Fernández González,82.0,56.0,78.0
18503,Ana Ana  Fernández Pérez,86.0,91.0,56.0
14748,Leticia Carlos  Rodríguez Gómez,65.0,64.0,51.0
17348,Sofía Juan  Martínez Gómez,66.0,62.0,49.0
18005,Isabel Luis  Rodríguez Rodríguez,89.0,70.0,73.0
19582,Isabel Juan  Pérez López,77.0,57.0,50.0
13559,Isabel Angel  López Rodríguez,79.0,50.0,92.0
16931,Ana Laura  Rodríguez Martínez,77.0,83.0,55.0
11370,Carlos Angel  Martínez Gómez,83.0,93.0,96.0
16034,María Lucia  Rodríguez Gómez,64.0,99.0,52.0
13606,Carlos Laura  Rodríguez Rodríguez,52.0,51.0,52.0
14274,Ana Juan  Gómez Fernández,64.0,42.0,82.0
19588,Carlos Betsua  Martínez Rodríguez,90.0,61.0,70.0
12729,Pedro Lucia  López González,73.0,53.0,52.0
17065,Luis Luis  González González,45.0,100.0,92.0
13144,Leticia Luis  Martínez González,45.0,84.0,87.0
15873,Luis Pedro  Gómez López,97.0,66.0,59.0
11884,Sofía Carlos  Martínez Fernández,44.0,89.0,84.0
11046,Luis Juan  Pérez Fernández,57.0,57.0,76.0
10452,María Lucia  López Rodríguez,76.0,73.0,61.0
18614,Isabel Lucia  González González,82.0,81.0,53.0
17399,Laura Angel  González Martínez,62.0,97.0,85.0
13304,Luis Luis  Gómez Martínez,91.0,70.0,76.0
11948,Isabel Luis  Pérez Martínez,86.0,42.0,73.0
18144,Leticia Laura  Pérez Fernández,43.0,53.0,72.0
16520,Andrés Lucia  Rodríguez López,47.0,77.0,54.0
14202,Sofía Ana  Gómez Pérez,72.0,101.0,58.0
13395,Pedro Ana  Pérez Martínez,48.0,84.0,91.0
10689,Andrés Juan  López Gómez,98.0,53.0,95.0
13537,Isabel Carlos  Rodríguez Rodríguez,77.0,67.0,72.0
12397,Laura Angel  Rodríguez González,54.0,97.0,55.0
11714,Ana Juan  Rodríguez Martínez,99.0,97.0,96.0
13243,Pedro Pedro  Gómez López,80.0,64.0,76.0
17510,Carlos Juan  Rodríguez Martínez,47.0,96.0,83.0
16193,Carlos María  Pérez Pérez,42.0,68.0,65.0
15925,Ana Luis  López Rodríguez,73.0,56.0,42.0
18952,Carlos Ana  Fernández Martínez,78.0,84.0,87.0
12479,Carlos Laura  López Pérez,52.0,58.0,63.0
11716,Pedro Pedro  López Pérez,84.0,62.0,67.0
19768,Leticia María  Fernández Fernández,43.0,77.0,56.0
17993,Ana Ana  López Rodríguez,66.0,69.0,55.0
12431,María Luis  López Pérez,47.0,83.0,51.0
19239,Laura Lucia  Pérez Fernández,44.0,92.0,88.0
16650,Ana Ana  Fernández Martínez,81.0,43.0,100.0
16934,Leticia Carlos  González Gómez,68.0,83.0,91.0
18539,Laura Angel  Gómez Martínez,58.0,78.0,91.0
18116,Laura María  López González,97.0,65.0,98.0
15283,Leticia Lucia  González Gómez,63.0,89.0,56.0
18166,Pedro Betsua  Martínez Fernández,98.0,64.0,69.0
18169,Ana Juan  López Fernández,93.0,99.0,59.0
13309,Andrés Carlos  Gómez Gómez,45.0,70.0,64.0
18893,Carlos María  Martínez Pérez,53.0,97.0,77.0
19990,Luis Angel  Martínez Fernández,68.0,55.0,55.0
13584,Ana Juan  González Martínez,80.0,86.0,56.0
10159,Sofía Pedro  Gómez Rodríguez,54.0,70.0,66.0
15574,Luis Pedro  López González,42.0,65.0,88.0
15214,Luis Juan  Gómez Fernández,75.0,95.0,77.0
15272,Ana María  Pérez Fernández,49.0,89.0,60.0
10581,Isabel Juan  Gómez González,69.0,43.0,57.0
18603,Carlos Pedro  Pérez Martínez,73.0,98.0,62.0
12430,María Lucia  Gómez Rodríguez,77.0,46.0,51.0
14208,Andrés Pedro  Gómez Fernández,55.0,48.0,97.0
19872,Carlos Laura  Pérez Rodríguez,90.0,69.0,100.0
12554,Carlos Laura  Gómez Fernández,92.0,96.0,99.0
16209,Leticia Carlos  González Rodríguez,71.0,45.0,91.0
19551,Andrés Lucia  Rodríguez Martínez,43.0,86.0,84.0
14823,Leticia Juan  Gómez Pérez,51.0,71.0,81.0
17707,Pedro Ana  Gómez López,70.0,96.0,94.0
11087,María Ana  Fernández Rodríguez,97.0,87.0,57.0
11386,Ana Pedro  Rodríguez López,96.0,98.0,46.0
18462,Isabel Carlos  Rodríguez González,59.0,61.0,78.0
10645,Laura Juan  González Gómez,43.0,43.0,63.0
11087,María Lucia  Martínez López,99.0,56.0,73.0
13687,Sofía Pedro  Fernández Martínez,99.0,74.0,69.0
12138,Andrés Luis  Fernández Fernández,95.0,52.0,69.0
10665,Carlos Pedro  Rodríguez López,99.0,43.0,50.0
14922,Leticia Pedro  Martínez González,49.0,84.0,57.0
10250,Laura Luis  López López,82.0,95.0,55.0
17349,Isabel Laura  Fernández Rodríguez,73.0,91.0,46.0
15416,Carlos Luis  Martínez González,81.0,69.0,63.0
12632,Isabel Laura  López Pérez,50.0,55.0,100.0
12438,Ana Lucia  Rodríguez Fernández,60.0,96.0,62.0
17548,Luis Carlos  Martínez Gómez,88.0,55.0,51.0
